Konrad Adenauer, CDU
Ilse Aigner, CSU
Peter Altmaier, CDU
Hans Apel, SPD
Walter Arendt, SPD
Annalena Baerbock, Bündnis 90/Die Grünen
Daniel Bahr, FDP
Egon Bahr, SPD
Siegfried Balke, CSU
Martin Bangemann, FDP
Katarina Barley, SPD
Rainer Barzel, CDU
Gerhart Baum, FDP
Ernst Benda, CDU
Christine Bergmann, SPD
Sabine Bergmann-Pohl, CDU
Theodor Blank, CDU
Franz Blücher, FVP
Norbert Blüm, CDU
Kurt Bodewig, SPD
Friedrich Bohl, CDU
Jochen Borchert, CDU
Wolfgang Bötsch, CSU
Willy Brandt, SPD
Aenne Brauksiepe, CDU
Helge Braun, CDU
Heinrich von Brentano, CDU
Rainer Brüderle, FDP
Ewald Bucher, FDP
Andreas von Bülow, SPD
Edelgard Bulmahn, SPD
Marco Buschmann, FDP
Wolfgang Clement, SPD
Herta Däubler-Gmelin, SPD
Rolf Dahlgrün, FDP
Thomas Dehler, FDP
Alexander Dobrindt, CSU
Klaus von Dohnanyi, SPD
Werner Dollinger, CSU
Horst Ehmke, SPD
Herbert Ehrenberg, SPD
Hans Eichel, SPD
Hans A. Engelhard, FDP
Björn Engholm, SPD
Erhard Eppler, SPD
Ludwig Erhard, CDU
Josef Ertl, FDP
Franz Etzel, CDU
Nancy Faeser, SPD
Andrea Fischer, Bündnis 90/Die Grünen
Joschka Fischer, Bündnis 90/Die Grünen
Katharina Focke, SPD
Egon Franke, SPD
Hans Friderichs, FDP
Hans-Peter Friedrich, CSU
Anke Fuchs, SPD
Karl-Heinz Funke, SPD
Sigmar Gabriel, SPD
Heiner Geißler, CDU
Hans-Dietrich Genscher, FDP
Klara Geywitz, SPD
Franziska Giffey, SPD
Michael Glos, CSU
Johann Baptist Gradl, CDU
Hermann Gröhe, CDU
Kurt Gscheidle, SPD
Karl Theodor von und zu Guttenberg, CSU
Dieter Haack, SPD
Robert Habeck, Bündnis 90/Die Grünen
Kai-Uwe von Hassel, CDU
Gerda Hasselfeldt, CSU
Volker Hauff, SPD
Helmut Haussmann, FDP
Bruno Heck, CDU
Hubertus Heil, SPD
Gustav Heinemann, SPD
Heinrich Hellwege, DP
Barbara Hendricks, SPD
Hermann Höcherl, CSU
Bodo Hombach, SPD
Antje Huber, SPD
Richard Jaeger, CSU
Gerhard Jahn, SPD
Franz Josef Jung, CDU
Jakob Kaiser, CDU
Manfred Kanther, CDU
Anja Karliczek, CDU
Hans Katzer, CDU
Ignaz Kiechle, CSU
Kurt Georg Kiesinger, CDU
Klaus Kinkel, FDP
Hans Klein, CSU
Reinhard Klimmt, SPD
Helmut Kohl, CDU
Kristina Schröder, CDU
Julia Klöckner, CDU
Waldemar Kraft, CDU
Annegret Kramp-Karrenbauer, CDU
Günther Krause, CDU
Heinrich Krone, CDU
Hans Krüger, CDU
Paul Krüger, CDU
Renate Künast, Bündnis 90/Die Grünen
Karl-Hans Laermann, FDP
Oskar Lafontaine, SPD
Manfred Lahnstein, SPD
Christine Lambrecht, SPD
Otto Graf Lambsdorff, FDP
Lauritz Lauritzen, SPD
Karl Lauterbach, SPD
Georg Leber, SPD
Robert Lehr, CDU
Ursula Lehr, CDU
Steffi Lemke, Bündnis 90/Die Grünen
Ernst Lemmer, CDU
Hans Lenz, FDP
Sabine Leutheusser-Schnarrenberger, FDP
Ursula von der Leyen, CDU
Christian Lindner, FDP
Hermann Lindrath, CDU
Heinrich Lübke, CDU
Paul Lücke, CDU
Hans Lukaschek, CDU
Heiko Maas, SPD
Werner Maihofer, FDP
Lothar de Maizière, CDU
Thomas de Maizière, CDU
Hans Matthöfer, SPD
Erich Mende, FDP
Hans-Joachim von Merkatz, DP
Angela Merkel, CDU
Wolfgang Mischnick, FDP
Jürgen Möllemann, FDP
Alex Möller, SPD
Gerd Müller, CSU
Franz Müntefering, SPD
Andrea Nahles, SPD
Fritz Neumayer, FVP
Dirk Niebel, FDP
Alois Niederalt, CSU
Wilhelm Niklas, CSU
Claudia Nolte, CDU
Theodor Oberländer, CDU
Rainer Offergeld, SPD
Rainer Ortleb, FDP
Eduard Oswald, CSU
Cem Özdemir, Bündnis 90/Die Grünen
Lisa Paus, Bündnis 90/Die Grünen
Boris Pistorius, SPD
Ronald Pofalla, CDU
Victor-Emanuel Preusker, FVP
Peter Ramsauer, CSU
Karl Ravens, SPD
Günter Rexrodt, FDP
Heinz Riesenhuber, CDU
Walter Riester, SPD
Hannelore Rönsch, CDU
Philipp Rösler, FDP
Norbert Röttgen, CDU
Helmut Rohde, SPD
Volker Rühe, CDU
Jürgen Rüttgers, CDU
Hermann Schäfer, FVP
Fritz Schäffer, CSU
Wolfgang Schäuble, CDU
Rudolf Scharping, SPD
Annette Schavan, CDU
Walter Scheel, FDP
Andreas Scheuer, CSU
Karl Schiller, SPD
Otto Schily, SPD
Marie Schlei, SPD
Carlo Schmid, SPD
Christian Schmidt, CSU
Helmut Schmidt, SPD
Renate Schmidt, SPD
Ulla Schmidt, SPD
Wolfgang Schmidt, SPD
Edzard Schmidt-Jortzig, FDP
Jürgen Schmude, SPD
Kurt Schmücker, CDU
Oscar Schneider, CSU
Olaf Scholz, SPD
Rupert Scholz, CDU
Gerhard Schröder, CDU
Gerhard Schröder, SPD
Kristina Schröder, CDU
Hans Schuberth, CSU
Svenja Schulze, SPD
Irmgard Schwaetzer, FDP
Werner Schwarz, CDU
Elisabeth Schwarzhaupt, CDU
Christian Schwarz-Schilling, CDU
Manuela Schwesig, SPD
Hans-Christoph Seebohm, CDU
Horst Seehofer, CSU
Rudolf Seiters, CDU
Jens Spahn, CDU
Anne Spiegel, Bündnis 90/Die Grünen
Carl-Dieter Spranger, CSU
Wolfgang Stammberger, FDP
Heinz Starke, FDP
Bettina Stark-Watzinger, FDP
Peer Steinbrück, SPD
Frank-Walter Steinmeier, SPD
Manfred Stolpe, SPD
Gerhard Stoltenberg, CDU
Anton Storch, CDU
Franz Josef Strauß, CSU
Käte Strobel, SPD
Peter Struck, SPD
Richard Stücklen, CSU
Rita Süssmuth, CDU
Wolfgang Tiefensee, SPD
Robert Tillmanns, CDU
Klaus Töpfer, CDU
Jürgen Trittin, Bündnis 90/Die Grünen
Hans-Jochen Vogel, SPD
Theo Waigel, CSU
Walter Wallmann, CDU
Hansjoachim Walther, DSU
Johanna Wanka, CDU
Jürgen Warnke, CSU
Karl Weber, CDU
Herbert Wehner, SPD
Guido Westerwelle, FDP
Heinz Westphal, SPD
Ludger Westrick, CDU
Heidemarie Wieczorek-Zeul, SPD
Eberhard Wildermuth, FDP
Hans Wilhelmi, CDU
Dorothee Wilms, CDU
Heinrich Windelen, CDU
Hans-Jürgen Wischnewski, SPD
Volker Wissing, FDP
Matthias Wissmann, CDU
Manfred Wörner, CDU
Franz-Josef Wuermeling, CDU
Friedrich Zimmermann, CSU
Brigitte Zypries, SPD
