Konrad Adenauer, CDU
Ilse Aigner, CSU
Peter Altmaier, CDU
Hans Apel, SPD
Walter Arendt, SPD
Annalena Baerbock, Bündnis 90/Die Grünen
Daniel Bahr, FDP
Egon Bahr, SPD
Siegfried Balke, CSU
Martin Bangemann, FDP
Katarina Barley, SPD
Rainer Barzel, CDU
Gerhart Baum, FDP
Ernst Benda, CDU
Christine Bergmann, SPD
Sabine Bergmann-Pohl, CDU
Theodor Blank, CDU
Franz Blücher, FVP
Norbert Blüm, CDU
Kurt Bodewig, SPD
Friedrich Bohl, CDU
Jochen Borchert, CDU
Wolfgang Bötsch, CSU
Willy Brandt, SPD
Aenne Brauksiepe, CDU
Helge Braun, CDU
Heinrich von Brentano, CDU
Rainer Brüderle, FDP
Ewald Bucher, FDP
Andreas von Bülow, SPD
Edelgard Bulmahn, SPD
Marco Buschmann, FDP
Wolfgang Clement, SPD
Herta Däubler-Gmelin, SPD
Rolf Dahlgrün, FDP
Thomas Dehler, FDP
Alexander Dobrindt, CSU
Klaus von Dohnanyi, SPD
Werner Dollinger, CSU
Horst Ehmke, SPD
Herbert Ehrenberg, SPD
Hans Eichel, SPD
Hans A. Engelhard, FDP
Björn Engholm, SPD
Erhard Eppler, SPD
Ludwig Erhard, CDU
Josef Ertl, FDP
Franz Etzel, CDU
Nancy Faeser, SPD
Andrea Fischer, Bündnis 90/Die Grünen
Joschka Fischer, Bündnis 90/Die Grünen
Katharina Focke, SPD
Egon Franke, SPD
Hans Friderichs, FDP
Hans-Peter Friedrich, CSU
Anke Fuchs, SPD
Karl-Heinz Funke, SPD
Sigmar Gabriel, SPD
Heiner Geißler, CDU
Hans-Dietrich Genscher, FDP
Klara Geywitz, SPD
Franziska Giffey, SPD
Michael Glos, CSU
Johann Baptist Gradl, CDU
Hermann Gröhe, CDU
Kurt Gscheidle, SPD
Karl Theodor von und zu Guttenberg, CSU
Dieter Haack, SPD
Robert Habeck, Bündnis 90/Die Grünen
Kai-Uwe von Hassel, CDU
Gerda Hasselfeldt, CSU
Volker Hauff, SPD
Helmut Haussmann, FDP
Bruno Heck, CDU
Hubertus Heil, SPD
Gustav Heinemann, SPD
Heinrich Hellwege, DP
Barbara Hendricks, SPD
Hermann Höcherl, CSU
