Bodo Hombach, SPD
Antje Huber, SPD
Richard Jaeger, CSU
Gerhard Jahn, SPD
Franz Josef Jung, CDU
Jakob Kaiser, CDU
Manfred Kanther, CDU
Anja Karliczek, CDU
Hans Katzer, CDU
Ignaz Kiechle, CSU
Kurt Georg Kiesinger, CDU
Klaus Kinkel, FDP
Hans Klein, CSU
Reinhard Klimmt, SPD
Helmut Kohl, CDU
Kristina Schröder, CDU
Julia Klöckner, CDU
Waldemar Kraft, CDU
Annegret Kramp-Karrenbauer, CDU
Günther Krause, CDU
Heinrich Krone, CDU
Hans Krüger, CDU
Paul Krüger, CDU
Renate Künast, Bündnis 90/Die Grünen
Karl-Hans Laermann, FDP
Oskar Lafontaine, SPD
Manfred Lahnstein, SPD
Christine Lambrecht, SPD
Otto Graf Lambsdorff, FDP
Lauritz Lauritzen, SPD
Karl Lauterbach, SPD
Georg Leber, SPD
Robert Lehr, CDU
Ursula Lehr, CDU
Steffi Lemke, Bündnis 90/Die Grünen
Ernst Lemmer, CDU
Hans Lenz, FDP
Sabine Leutheusser-Schnarrenberger, FDP
Ursula von der Leyen, CDU
Christian Lindner, FDP
Hermann Lindrath, CDU
Heinrich Lübke, CDU
Paul Lücke, CDU
Hans Lukaschek, CDU
Heiko Maas, SPD
Werner Maihofer, FDP
Lothar de Maizière, CDU
Thomas de Maizière, CDU
Hans Matthöfer, SPD
Erich Mende, FDP
Hans-Joachim von Merkatz, DP
Angela Merkel, CDU
Wolfgang Mischnick, FDP
Jürgen Möllemann, FDP
Alex Möller, SPD
Gerd Müller, CSU
Franz Müntefering, SPD
Andrea Nahles, SPD
Fritz Neumayer, FVP
Dirk Niebel, FDP
Alois Niederalt, CSU
Wilhelm Niklas, CSU
Claudia Nolte, CDU
Theodor Oberländer, CDU
Rainer Offergeld, SPD
Rainer Ortleb, FDP
Eduard Oswald, CSU
Cem Özdemir, Bündnis 90/Die Grünen
Lisa Paus, Bündnis 90/Die Grünen
Boris Pistorius, SPD
Ronald Pofalla, CDU
Victor-Emanuel Preusker, FVP
Peter Ramsauer, CSU
Karl Ravens, SPD
Günter Rexrodt, FDP
Heinz Riesenhuber, CDU
Walter Riester, SPD
Hannelore Rönsch, CDU
Philipp Rösler, FDP
