Norbert Röttgen, CDU
Helmut Rohde, SPD
Volker Rühe, CDU
Jürgen Rüttgers, CDU
Hermann Schäfer, FVP
Fritz Schäffer, CSU
Wolfgang Schäuble, CDU
Rudolf Scharping, SPD
Annette Schavan, CDU
Walter Scheel, FDP
Andreas Scheuer, CSU
Karl Schiller, SPD
Otto Schily, SPD
Marie Schlei, SPD
Carlo Schmid, SPD
Christian Schmidt, CSU
Helmut Schmidt, SPD
Renate Schmidt, SPD
Ulla Schmidt, SPD
Wolfgang Schmidt, SPD
Edzard Schmidt-Jortzig, FDP
Jürgen Schmude, SPD
Kurt Schmücker, CDU
Oscar Schneider, CSU
Olaf Scholz, SPD
Rupert Scholz, CDU
Gerhard Schröder, SPD
Kristina Schröder, CDU
Hans Schuberth, CSU
Svenja Schulze, SPD
Irmgard Schwaetzer, FDP
Werner Schwarz, CDU
Elisabeth Schwarzhaupt, CDU
Christian Schwarz-Schilling, CDU
Manuela Schwesig, SPD
Hans-Christoph Seebohm, CDU
Horst Seehofer, CSU
Rudolf Seiters, CDU
Jens Spahn, CDU
Anne Spiegel, Bündnis 90/Die Grünen
Carl-Dieter Spranger, CSU
Wolfgang Stammberger, FDP
Heinz Starke, FDP
Bettina Stark-Watzinger, FDP
Peer Steinbrück, SPD
Frank-Walter Steinmeier, SPD
Manfred Stolpe, SPD
Gerhard Stoltenberg, CDU
Anton Storch, CDU
Franz Josef Strauß, CSU
Käte Strobel, SPD
Peter Struck, SPD
Richard Stücklen, CSU
Rita Süssmuth, CDU
Wolfgang Tiefensee, SPD
Robert Tillmanns, CDU
Klaus Töpfer, CDU
Jürgen Trittin, Bündnis 90/Die Grünen
Hans-Jochen Vogel, SPD
Theo Waigel, CSU
Walter Wallmann, CDU
Hansjoachim Walther, DSU
Johanna Wanka, CDU
Jürgen Warnke, CSU
Karl Weber, CDU
Herbert Wehner, SPD
Guido Westerwelle, FDP
Heinz Westphal, SPD
Ludger Westrick, CDU
Heidemarie Wieczorek-Zeul, SPD
Eberhard Wildermuth, FDP
Hans Wilhelmi, CDU
Dorothee Wilms, CDU
Heinrich Windelen, CDU
Hans-Jürgen Wischnewski, SPD
Volker Wissing, FDP
Matthias Wissmann, CDU
Manfred Wörner, CDU
Franz-Josef Wuermeling, CDU
Friedrich Zimmermann, CSU
Brigitte Zypries, SPD
