,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.004003662616014481,0.6885964912280702,0.4131578947368421,0.5164473684210525,0.9720071471113758,35.5333,16.942,0.281,1.0,411,,,,,,,
1,,,,,,,,,1.22,500,0.0104,1.800498753117207e-05,,,,,
2,0.0033513144589960575,0.7330960854092526,0.5421052631578948,0.6232980332829047,0.977764542386341,35.5816,16.919,0.281,2.0,822,,,,,,,
3,,,,,,,,,2.43,1000,0.003,1.551122194513716e-05,,,,,
4,0.003191875759512186,0.6825842696629213,0.6394736842105263,0.6603260869565217,0.9779630732578916,1027.1632,0.586,0.01,3.0,1233,,,,,,,
5,,,,,,,,,3.65,1500,0.0018,1.3017456359102245e-05,,,,,
6,0.003293565707281232,0.6658536585365854,0.718421052631579,0.6911392405063291,0.9786910197869102,35.1377,17.133,0.285,4.0,1644,,,,,,,
7,,,,,,,,,4.87,2000,0.001,1.0523690773067332e-05,,,,,
8,0.0036286301910877228,0.7,0.718421052631579,0.7090909090909091,0.9794189663159288,34.8218,17.288,0.287,5.0,2055,,,,,,,
9,0.004114191513508558,0.7485549132947977,0.6815789473684211,0.7134986225895317,0.9800807358877639,38.3133,15.713,0.261,6.0,2466,,,,,,,
10,,,,,,,,,6.08,2500,0.0006,8.02992518703242e-06,,,,,
11,0.004227438010275364,0.7586206896551724,0.6947368421052632,0.7252747252747253,0.9808086824167824,35.3475,17.031,0.283,7.0,2877,,,,,,,
12,,,,,,,,,7.3,3000,0.0004,5.536159600997507e-06,,,,,
13,0.004421416670084,0.739612188365651,0.7026315789473684,0.7206477732793524,0.9800807358877639,36.5539,16.469,0.274,8.0,3288,,,,,,,
14,,,,,,,,,8.52,3500,0.0003,3.0423940149625936e-06,,,,,
15,0.004465888720005751,0.7262872628726287,0.7052631578947368,0.7156208277703605,0.9798822050162134,38.8063,15.513,0.258,9.0,3699,,,,,,,
16,,,,,,,,,9.73,4000,0.0002,5.486284289276808e-07,,,,,
17,0.004509420599788427,0.7207446808510638,0.7131578947368421,0.7169312169312169,0.9799483819733968,1074.8984,0.56,0.009,10.0,4110,,,,,,,
18,,,,,,,,,10.0,4110,,,19646.1828,3.343,0.209,8581450770432000.0,0.002165742082988114
