,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.004021471831947565,0.7114427860696517,0.3763157894736842,0.4922547332185887,0.9723380318972934,38.799,15.516,0.258,1.0,411,,,,,,,
1,,,,,,,,,1.22,500,0.0099,1.5907928388746805e-05,,,,,
2,0.0033839682582765818,0.7445255474452555,0.5368421052631579,0.6238532110091742,0.9773013036860565,35.8528,16.791,0.279,2.0,822,,,,,,,
3,,,,,,,,,2.43,1000,0.0031,1.0792838874680308e-05,,,,,
4,0.003147742711007595,0.6737400530503979,0.6684210526315789,0.6710700132100396,0.9779630732578916,172.2655,3.495,0.058,3.0,1233,,,,,,,
5,,,,,,,,,3.65,1500,0.0021,5.677749360613811e-06,,,,,
6,0.0032078379299491644,0.696,0.6868421052631579,0.6913907284768211,0.9790880815300113,37.0649,16.242,0.27,4.0,1644,,,,,,,
7,,,,,,,,,4.87,2000,0.0014,5.626598465473146e-07,,,,,
8,0.0032997517846524715,0.6742424242424242,0.7026315789473684,0.6881443298969071,0.9787571967440937,35.4172,16.997,0.282,5.0,2055,,,,,,,
9,,,,,,,,,5.0,2055,,,10034.3774,3.273,0.205,4290725385216000.0,0.00402809477563032
